"Visit your Insights Page";"Visit your Insights Circle"
"Admins";"Admins"
"Moderators";"Moderators"
"Public";"Public"
"This is not a valid user name. Please select a user name from the autosuggest.";"This is not a valid user name. Please select a user name from the autosuggest."
"The claimed page creator has been added successfully.";"The claimed page creator has been added successfully."
"Your action has been submitted and email successfully sent to the claimer.";"Your action has been submitted and email successfully sent to the claimer."
"Mapping deleted successfully !";"Mapping deleted successfully !"
"Title";"Title"
"Package";"Package"
"Overdue";"Overdue"
"Refunded";"Refunded"
"Cancelled";"Cancelled"
"Yes";"Yes"
"No";"No"
"Payment Status";"Payment Status"
"Closed";"Closed"
"Featured";"Featured"
"Sponsored";"Sponsored"
"Save Changes";"Save Changes"
" or ";" or "
"Import a File";"Import a File"
"Add a CSV file to import Pages corresponding to the entries in it, then click 'Submit'. Below, you can also set the privacy of those Pages";"Add a CSV file to import Pages corresponding to the entries in it, then click 'Submit'. Below, you can also set the privacy of those Circles"
"Import File";"Import File"
"Who may see these pages?";"Who may see these pages?"
"Who may post comments on these pages?";"Who may post comments on these pages?"
"File Columns Separator";"File Columns Separator"
"Select a separator from below which you are using for the columns of the CSV file.";"Select a separator from below which you are using for the columns of the CSV file."
"Pipe ('|')";"Pipe ('|')"
"Comma (',')";"Comma (',')"
"Show 10 Lines";"Show 10 Lines"
"Show 50 Lines";"Show 50 Lines"
"Show 100 Lines";"Show 100 Lines"
"Show 500 Lines";"Show 500 Lines"
"Show 1000 Lines";"Show 1000 Lines"
"Show 5000 Lines";"Show 5000 Lines"
"Show 10000 Lines";"Show 10000 Lines"
"Show 50000 Lines";"Show 50000 Lines"
"View History";"View History"
"Clear History";"Clear History"
"can't open file";"can't open file"
"Listing with ID ";"Listing with ID "
" is successfully imported into a Page with ID ";" is successfully imported into a Circle with ID "
" at ";" at "
". Title of that Page is '";". Title of that Circle is '"
"Invalid file extension. Only 'csv' extension is allowed.";"Invalid file extension. Only 'csv' extension is allowed."
"CSV file has been imported succesfully !";"CSV file has been imported succesfully !"
"Import History of '";"Import History of '"
"' with file id: ";"' with file id: "
", created on ";", created on "
" is given below.";" is given below."
"Successfully created a new page at ";"Successfully created a new page at "
". ID and title of that Page are ";". ID and title of that Circle are "
" and '";" and '"
"' respectively.";"' respectively."
"Importing is done successfully !";"Importing is done successfully !"
"Rollbacked successfully !";"Rollbacked successfully !"
"Import data has been deleted successfully !";"Import data has been deleted successfully !"
"Please select a file to view.";"Please select a file to view."
"Enabled";"Enabled"
"Search";"Search"
"Do you want to enable 'Save to foursquare' buttons for the pages created by members of this level? (Using this, 'Save to foursquare' buttons will be shown on profiles of pages having location information. These buttons will enable page visitors to add the page's place or tip to their foursquare To-Do List. Page Admins will get this option in the ""Marketing"" section of their Dashboard.)";"Do you want to enable 'Save to foursquare' buttons for the pages created by members of this level? (Using this, 'Save to foursquare' buttons will be shown on profiles of pages having location information. These buttons will enable page visitors to add the page's place or tip to their foursquare To-Do List. Circle Admins will get this option in the ""Marketing"" section of their Dashboard.)"
"Graph Settings for Insights";"Graph Settings for Insights"
"Email Settings for Insights";"Email Settings for Insights"
"Email ID for Testing";"Email ID for Testing"
"Gateway";"Gateway"
"Type";"Type"
"Option";"Option"
"Select a default view type for Directory Items / Pages on the Pages Home Widget and Browse Pages.";"Select a default view type for Directory Items / Pages on the Pages Home Widget and Browse Circles."
"Default View on Pages Home Widget and Browse Pages";"Default View on Pages Home Widget and Browse Circles"
"General Settings";"General Settings"
"Configure the general settings for various widgets available with this plugin.";"Configure the general settings for various widgets available with this plugin."
"Featured Pages Slideshow Widget";"Featured Circles Slideshow Widget"
"How many directory items / pages will be shown in the featured pages slideshow widget? Note that out of all the featured pages, these many pages will be picked up randomly to be shown in the slideshow (value can not be empty or zero) ?";"How many directory items / pages will be shown in the featured pages slideshow widget? Note that out of all the featured pages, these many pages will be picked up randomly to be shown in the slideshow (value can not be empty or zero) ?"
"Sponsored Pages Carousel Widget";"Sponsored Circles Carousel Widget"
"How many directory items / pages will be shown in one view of the sponsored pages carousel widget? Note that this carousel is AJAX based and users will be able to browse through all the sponsored pages (value can not be empty or zero) ?";"How many directory items / pages will be shown in one view of the sponsored pages carousel widget? Note that this carousel is AJAX based and users will be able to browse through all the sponsored pages (value can not be empty or zero) ?"
"Sponsored Carousel Speed";"Sponsored Carousel Speed"
"What maximum Carousel Speed should be applied to the sponsored widget?";"What maximum Carousel Speed should be applied to the sponsored widget?"
"Title Truncation Limit For Sponsored Items Widget";"Title Truncation Limit For Sponsored Items Widget"
"What maximum limit should be applied to the number of characters in the titles of items in the Sponsored widgets? (Enter a number between 1 and 999. Titles having more characters than this limit will be truncated. Complete titles will be shown on mouseover.)";"What maximum limit should be applied to the number of characters in the titles of items in the Sponsored widgets? (Enter a number between 1 and 999. Titles having more characters than this limit will be truncated. Complete titles will be shown on mouseover.)"
"Most Commented Pages Widget";"Most Commented Circles Widget"
"How many directory items / pages will be shown in the most commented pages widget (value can not be empty or zero) ?";"How many directory items / pages will be shown in the most commented pages widget (value can not be empty or zero) ?"
"Most Liked Pages Widget";"Most Liked Circles Widget"
"How many directory items / pages will be shown in the most liked pages widget (value can not be empty or zero) ?";"How many directory items / pages will be shown in the most liked pages widget (value can not be empty or zero) ?"
"Page Profile Owner Pages Widget";"Page Profile Owner Circles Widget"
"How many directory items / pages will be shown in the page profile owner pages widget (value can not be empty or zero) ?";"How many directory items / pages will be shown in the page profile owner pages widget (value can not be empty or zero) ?"
"Views on Pages Home and Browse Pages";"Views on Pages Home and Browse Circles"
"Choose the view types that you want to be available for pages on the pages home and browse pages.";"Choose the view types that you want to be available for pages on the pages home and browse pages."
"Ajax Tabs of Main Pages Home Widget";"Ajax Tabs of Main Circles Home Widget"
"Choose the ajax tabs that you want to be there in the Main Pages Home Widget.";"Choose the ajax tabs that you want to be there in the Main Circles Home Widget."
"Recent";"Recent"
"Most Popular";"Most Popular"
"Popular Pages Widget";"Popular Circles Widget"
"How many directory items / pages will be shown in the popular pages widget (value can not be empty or zero) ?";"How many directory items / pages will be shown in the popular pages widget (value can not be empty or zero) ?"
"Popular Pages Widget Grid View";"Popular Circles Widget Grid View"
"How many directory items / pages will be shown in the popular pages widget in image view (value can not be empty or zero) ?";"How many directory items / pages will be shown in the popular pages widget in image view (value can not be empty or zero) ?"
"Recent Pages Widget";"Recent Circles Widget"
"How many directory items / pages will be shown in the recent pages widget (value can not be empty or zero) ?";"How many directory items / pages will be shown in the recent pages widget (value can not be empty or zero) ?"
"Recent Pages Widget Grid View";"Recent Circles Widget Grid View"
"How many directory items / pages will be shown in the recent pages widget in image view (value can not be empty or zero) ?";"How many directory items / pages will be shown in the recent pages widget in image view (value can not be empty or zero) ?"
"Random Pages Widget";"Random Circles Widget"
"How many directory items / pages will be shown in the random pages widget (value can not be empty or zero) ?";"How many directory items / pages will be shown in the random pages widget (value can not be empty or zero) ?"
"Random Pages Widget Grid View";"Random Circles Widget Grid View"
"How many directory items / pages will be shown in the random pages widget in image view (value can not be empty or zero) ?";"How many directory items / pages will be shown in the random pages widget in image view (value can not be empty or zero) ?"
"How many directory items / pages will be shown in the featured pages slideshow widget (value can not be empty or zero) ?";"How many directory items / pages will be shown in the featured pages slideshow widget (value can not be empty or zero) ?"
"Featured Pages Slideshow Widget Grid View";"Featured Circles Slideshow Widget Grid View"
"How many directory items / pages will be shown in the featured pages slideshow widget in image view (value can not be empty or zero) ?";"How many directory items / pages will be shown in the featured pages slideshow widget in image view (value can not be empty or zero) ?"
"How many directory items / pages will be shown in the sponsored pages carousel widget (value can not be empty or zero) ?";"How many directory items / pages will be shown in the sponsored pages carousel widget (value can not be empty or zero) ?"
"Sponsored Pages Carousel Widget Grid View";"Sponsored Circles Carousel Widget Grid View"
"How many directory items / pages will be shown in the sponsored pages carousel widget in image view (value can not be empty or zero) ?";"How many directory items / pages will be shown in the sponsored pages carousel widget in image view (value can not be empty or zero) ?"
"Favourites pages Widget";"Favourites pages Widget"
"How many directory items / pages will be shown in the Favourites Pages widget (value can not be empty or zero) ?";"How many directory items / pages will be shown in the Favourites Circles widget (value can not be empty or zero) ?"
"You May Also Like Widget";"You May Also Like Widget"
"How many directory items / pages will be shown in the you may also like widget (value can not be empty or zero) ?";"How many directory items / pages will be shown in the you may also like widget (value can not be empty or zero) ?"
"Recently Viewed Pages Widget";"Recently Viewed Circles Widget"
"How many directory items / pages will be shown in the recently viewed pages widget in image view (value can not be empty or zero) ?";"How many directory items / pages will be shown in the recently viewed pages widget in image view (value can not be empty or zero) ?"
"Recently Viewed By Friends Widget";"Recently Viewed By Friends Widget"
"How many directory items / pages will be shown in the recently viewed by friends widget (value can not be empty or zero) ?";"How many directory items / pages will be shown in the recently viewed by friends widget (value can not be empty or zero) ?"
"Page Profile Likes Widget";"Circle Profile Likes Widget"
"How many users will be shown in the page profile likes widget (value can not be empty or zero) ?";"How many users will be shown in the page profile likes widget (value can not be empty or zero) ?"
"Most Discussed Pages Widget";"Most Discussed Circles Widget"
"How many directory items / pages will be shown in the most discussed Pages widget (value can not be empty or zero) ?";"How many directory items / pages will be shown in the most discussed Circles widget (value can not be empty or zero) ?"
"Popular Locations Widget";"Popular Locations Widget"
"How many locations will be shown in the popular locations widget (value can not be empty or zero) ?";"How many locations will be shown in the popular locations widget (value can not be empty or zero) ?"
"Page Profile Apps Links Widget";"Circle Profile Apps Links Widget"
"How many links will be shown in the page profile apps links widget (value can not be empty or zero) ?";"How many links will be shown in the page profile apps links widget (value can not be empty or zero) ?"
"Take an Action";"Take an Action"
"Please take an appropriate action for this page:";"Please take an appropriate action for this page:"
"Save";"Save"
"After selecting a profile type, if you click on ""Yes"", then the already created pages of this category with a different profile type will be changed to this new profile type. If you click on ""No"", then this mapping will only apply on the pages that will be created after saving this mapping.";"After selecting a profile type, if you click on ""Yes"", then the already created pages of this category with a different profile type will be changed to this new profile type. If you click on ""No"", then this mapping will only apply on the pages that will be created after saving this mapping."
"Miles";"Miles"
"Kilometers";"Kilometers"
"These settings affect all members in your community.";"These settings affect all members in your community."
"Change Owner";"Change Owner"
"Owner";"Owner"
"Change Category";"Change Category"
"Add Category";"Add Category"
"Edit Category";"Edit Category"
"Search Box Settings";"Search Box Settings"
"This page lists all the fields which will be displayed to the users in the search form widget at ""Pages Home"", ""Browse Pages"" and ""My Pages"". Below, you can set the sequence of items in the order in which they should appear to users in the search form. To do so, drag-and-drop the items vertically and click on ""Save Order"" to save the sequence. You can also hide/display the individual fields in this search box.";"This page lists all the fields which will be displayed to the users in the search form widget at ""Pages Home"", ""Browse Pages"" and ""My Circles"". Below, you can set the sequence of items in the order in which they should appear to users in the search form. To do so, drag-and-drop the items vertically and click on ""Save Order"" to save the sequence. You can also hide/display the individual fields in this search box."
"Item Label";"Item Label"
"Hide / Display";"Hide / Display"
"This plugin provides deep integration for advertising using the ""%1$sAdvertisements / Community Ads Plugin%2$s"". Please install and enable this plugin to configure settings for the various ad positions and widgets available. If you do not have this plugin yet, click here to view its details and purchase it: %1$shttp://www.socialengineaddons.com/socialengine-advertisements-community-ads-plugin%2$s.";"This plugin provides deep integration for advertising using the ""%1$sAdvertisements / Community Ads Plugin%2$s"". Please install and enable this plugin to configure settings for the various ad positions and widgets available. If you do not have this plugin yet, click here to view its details and purchase it: %1$shttp://www.socialengineaddons.com/socialengine-advertisements-community-ads-plugin%2$s."
"Ad Settings";"Ad Settings"
"This plugin provides seamless integration with the ""Advertisements / Community Ads Plugin"". Attractive advertising can be done using the many available, well designed ad positions in this plugin. Below, you can configure the settings for the various ad positions and widgets.";"This plugin provides seamless integration with the ""Advertisements / Community Ads Plugin"". Attractive advertising can be done using the many available, well designed ad positions in this plugin. Below, you can configure the settings for the various ad positions and widgets."
"Community Ads in this plugin";"Community Ads in this plugin"
"Do you want to show community ads in the various positions available in this plugin? (Below, you will be able to choose for every individual position. If you do not want to show ads in a particular position, then please enter the value ""0"" for it below.)";"Do you want to show community ads in the various positions available in this plugin? (Below, you will be able to choose for every individual position. If you do not want to show ads in a particular position, then please enter the value ""0"" for it below.)"
"Ads in Photos Lightbox";"Ads in Photos Lightbox"
"Do you want to show ads in ajax lightbox for viewing photos of albums of pages?";"Do you want to show ads in ajax lightbox for viewing photos of albums of pages?"
"Type of Ads in Photos Lightbox";"Type of Ads in Photos Lightbox"
"Select the type of ads you want to show in the ajax lightbox for viewing photos of albums of pages.";"Select the type of ads you want to show in the ajax lightbox for viewing photos of albums of pages."
"Profile Photo Required";"Profile Photo Required"
"Select";"Select"
"Page Note's Edit Page";"Page Note's Edit Circle"
"There are no photos in this page album.";"There are no photos in this page album."
"Delete Page?";"Delete Circle?"
"Are you sure that you want to delete the Page with the title %1$s"" last modified %2$s? It will not be recoverable after being deleted.""";"Are you sure that you want to delete the Circle with the title %1$s"" last modified %2$s? It will not be recoverable after being deleted."""
"How many ads will be shown on a page note's edit page?";"How many ads will be shown on a page note's edit page?"
"Page Note's Delete Page";"Page Note's Delete Circle"
"How many ads will be shown on a page note's delete page?";"How many ads will be shown on a page note's delete page?"
"Page Note's Add Photos Page";"Page Note's Add Photos Circle"
"How many ads will be shown on a page note's add photos page?";"How many ads will be shown on a page note's add photos page?"
"Page Note's Edit Photo Page";"Page Note's Edit Photo Circle"
"How many ads will be shown on a page note's edit photo page?";"How many ads will be shown on a page note's edit photo page?"
"Page Note's Creation Success Page";"Page Note's Creation Success Circle"
"How many ads will be shown on a page note's creation success page?";"How many ads will be shown on a page note's creation success page?"
"Page Event's View Page";"Page Event's View Circle"
"How many ads will be shown on a page event's view page?";"How many ads will be shown on a page event's view page?"
"Page Event's Create Page";"Page Event's Create Circle"
"How many ads will be shown on a page event's create page?";"How many ads will be shown on a page event's create page?"
"Page Event's Edit Page";"Page Event's Edit Circle"
"How many ads will be shown on a page event's edit page?";"How many ads will be shown on a page event's edit page?"
"Page Event's Delete Page";"Page Event's Delete Circle"
"How many ads will be shown on a page event's delete page?";"How many ads will be shown on a page event's delete page?"
"Page Album's View Page";"Page Album's View Circle"
"How many ads will be shown on a page album's view page?";"How many ads will be shown on a page album's view page?"
"Page Album's Create Page";"Page Album's Create Circle"
"How many ads will be shown on a page album's create page?";"How many ads will be shown on a page album's create page?"
"Page Album's Edit Photos Page";"Page Album's Edit Photos Circle"
"How many ads will be shown on a page album's edit photos page?";"How many ads will be shown on a page album's edit photos page?"
"Page Discussion's View Page";"Page Discussion's View Circle"
"How many ads will be shown on a page dicussion's view page?";"How many ads will be shown on a page dicussion's view page?"
"Page Discussion's Create Page";"Page Discussion's Create Circle"
"How many ads will be shown on a page dicussion's create page?";"How many ads will be shown on a page dicussion's create page?"
"Page Discussion's Post Reply Page";"Page Discussion's Post Reply Circle"
"How many ads will be shown on a dicussion's post reply page?";"How many ads will be shown on a dicussion's post reply page?"
"Page Document's View Page";"Page Document's View Circle"
"How many ads will be shown on a Page document's view page?";"How many ads will be shown on a Circle document's view page?"
"Page Document's Create Page";"Page Document's Create Circle"
"How many ads will be shown on a Page document's create page?";"How many ads will be shown on a Circle document's create page?"
"Page Document's Edit Page";"Page Document's Edit Circle"
"How many ads will be shown on a Page document's edit page?";"How many ads will be shown on a Circle document's edit page?"
"Page Document's Delete Page";"Page Document's Delete Circle"
"How many ads will be shown on a Page document's delete page?";"How many ads will be shown on a Circle document's delete page?"
"Page Video's View Page";"Page Video's View Circle"
"How many ads will be shown on a page video's view page?";"How many ads will be shown on a page video's view page?"
"Page Video's Create Page";"Page Video's Create Circle"
"How many ads will be shown on a page video's create page?";"How many ads will be shown on a page video's create page?"
"Page Video's Edit Page";"Page Video's Edit Circle"
"How many ads will be shown on a page video's edit page?";"How many ads will be shown on a page video's edit page?"
"Page Video's Delete Page";"Page Video's Delete Circle"
"Page Poll's View Page";"Page Poll's View Circle"
"How many ads will be shown on a page poll's view page?";"How many ads will be shown on a page poll's view page?"
"Page Poll's Create Page";"Page Poll's Create Circle"
"How many ads will be shown on a page poll's create page?";"How many ads will be shown on a page poll's create page?"
"Page Poll's Delete Page";"Page Poll's Delete Circle"
"How many ads will be shown on a page poll's delete page?";"How many ads will be shown on a page poll's delete page?"
"Page Review's Create Page";"Page Review's Create Circle"
"How many ads will be shown on a page review's create page?";"How many ads will be shown on a page review's create page?"
"Page Review's Edit Page";"Page Review's Edit Circle"
"How many ads will be shown on a page review's edit page?";"How many ads will be shown on a page review's edit page?"
"Page Review's Delete Page";"Page Review's Delete Circle"
"How many ads will be shown on a page review's delete page?";"How many ads will be shown on a page review's delete page?"
"Page Reviews View Page";"Page Reviews View Circle"
"How many ads will be shown on a page review\'s view page?";"How many ads will be shown on a page review\'s view page?"
"How many ads will be shown on form's add question page?";"How many ads will be shown on form's add question page?"
"How many ads will be shown on a badge's view page?";"How many ads will be shown on a badge's view page?"
"How many ads will be shown on a page note's create page?";"How many ads will be shown on a page note's create page?"
"How many ads will be shown on a page video's delete page?";"How many ads will be shown on a page video's delete page?"
"My Pages";"My Circles"
"Sponsored Ads";"Sponsored Ads"
"Featured Ads";"Featured Ads"
"Both Sponsored and Featured Ads";"Both Sponsored and Featured Ads"
"Sample Ad Widget";"Sample Ad Widget"
"Do you want to show a Sample Ad of a Page on its profile in the Info and Overview widgets? (This widget will only be visible to page admins and will tempt them to create an Ad for their Page. Click %1$shere%2$s to preview this widget.)";"Do you want to show a Sample Ad of a Page on its profile in the Info and Overview widgets? (This widget will only be visible to page admins and will tempt them to create an Ad for their Circle. Click %1$shere%2$s to preview this widget.)"
"Advertise your Page Widget";"Advertise your Circle Widget"
"Do you want to show the Advertise your Page widget on Page Profile in the Info and Overview widgets? (This widget will only be visible to page admins and it displays a catchy phrase to tempt them to create an Ad for their Page. It also has a link to Create an Ad. Click %1$shere%2$s to preview this widget.)";"Do you want to show the Advertise your Page widget on Page Profile in the Info and Overview widgets? (This widget will only be visible to page admins and it displays a catchy phrase to tempt them to create an Ad for their Circle. It also has a link to Create an Ad. Click %1$shere%2$s to preview this widget.)"
"Page Profile Notes Widget";"Circle Profile Notes Widget"
"How many ads will be shown in page profile notes widget?";"How many ads will be shown in page profile notes widget?"
"Page Notes View Page";"Page Notes View Circle"
"How many ads will be shown on a page note's view page?";"How many ads will be shown on a page note's view page?"
"Page Note's Create Page";"Page Note's Create Circle"
"How many ads will be shown on a page note\'s create page?";"How many ads will be shown on a page note\'s create page?"
"Page Note\'s Edit Page";"Page Note\'s Edit Circle"
"How many ads will be shown on a page note\'s edit page?";"How many ads will be shown on a page note\'s edit page?"
"Page Note\'s Delete Page";"Page Note\'s Delete Circle"
"How many ads will be shown on a page note\'s delete page?";"How many ads will be shown on a page note\'s delete page?"
"Page Note\'s Add Photos Page";"Page Note\'s Add Photos Circle"
"How many ads will be shown on a page note\'s add photos page?";"How many ads will be shown on a page note\'s add photos page?"
"Page Note\'s Edit Photo Page";"Page Note\'s Edit Photo Circle"
"How many ads will be shown on a page note\'s edit photo page?";"How many ads will be shown on a page note\'s edit photo page?"
"Page Note\'s Creation Success Page";"Page Note\'s Creation Success Circle"
"How many ads will be shown on a page note\'s creation success page?";"How many ads will be shown on a page note\'s creation success page?"
"Page Profile Events Widget";"Circle Profile Events Widget"
"How many ads will be shown in page profile events widget?";"How many ads will be shown in page profile events widget?"
"Page Event\'s View Page";"Page Event\'s View Circle"
"How many ads will be shown on a page event\'s view page?";"How many ads will be shown on a page event\'s view page?"
"Page Event\'s Create Page";"Page Event\'s Create Circle"
"How many ads will be shown on a page event\'s create page?";"How many ads will be shown on a page event\'s create page?"
"Page Event\'s Edit Page";"Page Event\'s Edit Circle"
"How many ads will be shown on a page event\'s edit page?";"How many ads will be shown on a page event\'s edit page?"
"Page Event\'s Delete Page";"Page Event\'s Delete Circle"
"How many ads will be shown on a page event\'s delete page?";"How many ads will be shown on a page event\'s delete page?"
"Page Profile Albums Widget";"Circle Profile Albums Widget"
"How many ads will be shown in page profile albums widget?";"How many ads will be shown in page profile albums widget?"
"Page Album\'s View Page";"Page Album\'s View Circle"
"How many ads will be shown on a page album\'s view page?";"How many ads will be shown on a page album\'s view page?"
"Page Album\'s Create Page";"Page Album\'s Create Circle"
"How many ads will be shown on a page album\'s create page?";"How many ads will be shown on a page album\'s create page?"
"Page Album\'s Edit Photos Page";"Page Album\'s Edit Photos Circle"
"How many ads will be shown on a page album\'s edit photos page?";"How many ads will be shown on a page album\'s edit photos page?"
"Page Profile Discussions Widget";"Circle Profile Discussions Widget"
"How many ads will be shown in page profile discussions widget?";"How many ads will be shown in page profile discussions widget?"
"Page Discussion\'s View Page";"Page Discussion\'s View Circle"
"How many ads will be shown on a page dicussion\'s view page?";"How many ads will be shown on a page dicussion\'s view page?"
"Page Discussion\'s Create Page";"Page Discussion\'s Create Circle"
"How many ads will be shown on a page dicussion\'s create page?";"How many ads will be shown on a page dicussion\'s create page?"
"Page Discussion\'s Post Reply Page";"Page Discussion\'s Post Reply Circle"
"How many ads will be shown on a dicussion\'s post reply page?";"How many ads will be shown on a dicussion\'s post reply page?"
"Page Profile Documents Widget";"Circle Profile Documents Widget"
"How many ads will be shown in page profile documents widget?";"How many ads will be shown in page profile documents widget?"
"Page Document\'s View Page";"Page Document\'s View Circle"
"How many ads will be shown on a Page document\'s view page?";"How many ads will be shown on a Circle document\'s view page?"
"Page Document\'s Create Page";"Page Document\'s Create Circle"
"How many ads will be shown on a Page document\'s create page?";"How many ads will be shown on a Circle document\'s create page?"
"Page Document\'s Edit Page";"Page Document\'s Edit Circle"
"How many ads will be shown on a Page document\'s edit page?";"How many ads will be shown on a Circle document\'s edit page?"
