"Visit your Insights Page";"Visit your Insights Circle"
"ACTIVITY_TYPE_SITEPAGE_TAGGED";"When my page is tagged."
"Edit Tab Settings";"Edit Tab Settings"
"Tab Title";"Tab Title"
"No. of Items";"No. of Items"
"How many items will be shown in this tab (value can not be empty or zero) ?";"How many items will be shown in this tab (value can not be empty or zero) ?"
"Page of the day";"Circle of the day"
"Display this tab";"Display this tab"
"Below you can choose the tabs and their sequence for this widget. To adjust the sequence, use drag-and-drop and then click on 'Save Order' to save it. If you do not see this widget at the desired location then make sure that you have placed this from the Layout Editor and that you have enabled atleast one tab for it.";"Below you can choose the tabs and their sequence for this widget. To adjust the sequence, use drag-and-drop and then click on 'Save Order' to save it. If you do not see this widget at the desired location then make sure that you have placed this from the Layout Editor and that you have enabled atleast one tab for it."
"Show ""View More"" link";"Show ""View More"" link"
"Horizontal Margin between Elements";"Horizontal Margin between Elements"
"(Horizontal margin in px between consecutive elements in this widget. You might want to change this value if the content of this widget is not coming properly on your site because of the column width in your theme.)";"(Horizontal margin in px between consecutive elements in this widget. You might want to change this value if the content of this widget is not coming properly on your site because of the column width in your theme.)"
"Add Item";"Add Item"
" results found";" results found"
" - created by ";" - created by "
"by ";"by "
"Page Category";"Circle Category"
"(number of items to show)";"(number of items to show)"
"Carousel Type";"Carousel Type"
"Horizontal";"Horizontal"
"Vertical";"Vertical"
"Rows";"Rows"
"(number of rows in one view)";"(number of rows in one view)"
"Speed";"Speed"
"(transition interval between two slides in millisecs)";"(transition interval between two slides in millisecs)"
" and if your page has %1s or more likes URL will be: <br /> <span id=""short_page_url_address"">http://%2s</span>";" and if your page has %1s or more likes URL will be: <br /> <span id=""short_page_url_address"">http://%2s</span>"
"By linking your Page to your Facebook Page, updates from your Page will also be published on your Facebook Page. Additionally, the Facebook Like Box for your Facebook Page will be displayed on your Page, thus enabling you to gain Likes for your Facebook Page from this website. This Like Box will also:<br /><br /><ol style='margin-left: 20px;'><li> Show the recent posts from your Facebook Page.</li><li>Show how many people already like your Facebook Page.</li> <li>Enable people to Like your Facebook Page.</li></ol><br /> <br /> Enter the URL of your Facebook Page below to link it with this Page.";"By linking your Page to your Facebook Page, updates from your Page will also be published on your Facebook Page. Additionally, the Facebook Like Box for your Facebook Page will be displayed on your Page, thus enabling you to gain Likes for your Facebook Page from this website. This Like Box will also:<br /><br /><ol style='margin-left: 20px;'><li> Show the recent posts from your Facebook Circle.</li><li>Show how many 
people already like your Facebook Page.</li> <li>Enable people to Like your Facebook Page.</li></ol><br /> <br /> Enter the URL of your Facebook Page below to link it with this Page."
"By linking your Page to your Facebook Page, Facebook Like Box for your Facebook Page will be displayed on your Page, thus enabling you to gain Likes for your Facebook Page from this website. This Like Box will also:<br /><br /><ol style='margin-left: 20px;'><li> Show the recent posts from your Facebook Page.</li><li>Show how many people already like your Facebook Page.</li> <li>Enable people to Like your Facebook Page.</li></ol><br /> <br /> Enter the URL of your Facebook Page below to link it with this Page.";"By linking your Page to your Facebook Page, Facebook Like Box for your Facebook Page will be displayed on your Page, thus enabling you to gain Likes for your Facebook Page from this website. This Like Box will also:<br /><br /><ol style='margin-left: 20px;'><li> Show the recent posts from your Facebook Page.</li><li>Show how many people already like your Facebook Page.</li> <li>Enable people to Like your Facebook Page.</li></ol><br /> <br /> Enter the URL of your Facebook Circle below to link it with 
this Page."
"By linking your Page to your Facebook Page, updates from your Page will also be published on your Facebook Page. <br /> <br /> Enter the URL of your Facebook Page below to link it with this Page.";"By linking your Page to your Facebook Page, updates from your Page will also be published on your Facebook Page. <br /> <br /> Enter the URL of your Facebook Page below to link it with this Circle."
"Your Facebook Page has been successfully linked.";"Your Facebook Circle has been successfully linked."
"You have not liked any pages yet. %s and Like the pages you like.";"You have not liked any pages yet. %s and Like the pages you like."
"Advanced search";"Advanced search"
"Enter a location";"Enter a location"
"_EMAIL_SITEPAGE_POSTNOTIFICATION_EMAIL_TITLE";"Member Post in Circle Email Notification"
"_EMAIL_SITEPAGE_POSTNOTIFICATION_EMAIL_DESCRIPTION";"This email goes to the owner and page admin of the Circle when member post something on the page."
"_EMAIL_SITEPAGE_POSTNOTIFICATION_EMAIL_SUBJECT";"[[page_title]] New Post: [post_body_body]"
"_EMAIL_SITEPAGE_POSTNOTIFICATION_EMAIL_BODY";"
[header]

[body_content]

[footer]
"
"(Enter keywords or Page name)";"(Enter keywords or Circle name)"
"Pages I've Joined";"Circles I've Joined"
"Explore pages";"Explore pages"
"Promote this Page on your external blogs or websites";"Promote this Circle on your external blogs or websites"
"Attract people to your Page and gain popularity by using attractive embeddable badge of your Page which can be shared across the web.";"Attract people to your Page and gain popularity by using attractive embeddable badge of your Circle which can be shared across the web."
"Link to your Page";"Link to your Circle"
"Make Page Cover";"Make Circle Cover"
"This will be the end of your page URL. It should be indicative of the title and can contain alphabets, numbers, underscores and  dashes only. Its length should be in the range of 3-255 characters. The complete URL of your page will be: %s";"This will be the end of your page URL. It should be indicative of the title and can contain alphabets, numbers, underscores and  dashes only. Its length should be in the range of 3-255 characters. The complete URL of your page will be: %s"
"<br />and if your page has %1$s or more likes URL will be: <br />%2$s";"<br />and if your page has %1$s or more likes URL will be: <br />%2$s"
"SOCIAL SHARE";"SOCIAL SHARE"
"Page Name";"Circle Name"
"PAGE";"PAGE";"PAGES"
"PAGE_NAVIGATION_NAME";"Circles"
"VIEW_PAGE";"View Circle"
"Explore Tags &raquo;";"Explore Tags &raquo;"
"%s review";"%s review";"%s reviews"
"Like this review if you find it useful.";"Like this review if you find it useful."
"Ratings";"Ratings"
"%s Like";"%s Like";"%s Likes"
"%s Comment";"%s Comment";"%s Comments"
"%s View";"%s View";"%s Views"
"Owners";"Owners"
"Make Album of the Day";"Make Album of the Day"
"INFORMATION";"INFORMATION"
"OWNERS";"OWNERS"
"Page Cover";"Circle Cover"
"Get Directions";"Get Directions"
"Total %s Review";"Total %s Review";"Total %s Reviews"
"approximately %s kilometers";"approximately %s kilometers"
"approximately %s miles";"approximately %s miles"
"Browse Pages";"Browse Circles"
"{item:$subject} has joined you in page {item:$object}.";"{item:$subject} has joined you in page {item:$object}."
"{item:$subject} joined the page {item:$object}:";"{item:$subject} joined the page {item:$object}:"
"{item:$subject} has requested to join the page {item:$object}.";"{item:$subject} has requested to join the page {item:$object}."
"{item:$subject} posted in {item:$object}.";"{item:$subject} posted in {item:$object}."
"{item:$subject} is following {item:$object}.";"{item:$subject} is following {item:$object}."
"{item:$subject} has commented on {var:$eventname}.";"{item:$subject} has commented on {var:$eventname}."
"{item:$subject} has liked {var:$eventname}.";"{item:$subject} has liked {var:$eventname}."
"ADMIN_ACTIVITY_TYPE_FOLLOW_SITEPAGE_PAGE";"When someone follow the page."
"Page Profile Follow Button for Pages";"Page Profile Follow Button for Circles"
"Page Profile Like Button for Pages";"Page Profile Like Button for Circles"
"Total <b>%s</b> Review";"Total <b>%s</b> Review";"Total <b>%s</b> Reviews"
"Page Album";"Circle Album"
"Page Video";"Circle Video"
"Page Document";"Circle Document"
"Page Poll";"Circle Poll"
"Page Note";"Circle Note"
"Page Review";"Circle Review"
"Page Event";"Circle Event"
"Page Albums";"Circle Albums"
"Page Videos";"Circle Videos"
"Page Documents";"Circle Documents"
"Page Polls";"Circle Polls"
"Page Notes";"Circle Notes"
"Page Reviews";"Circle Reviews"
"Page Events";"Circle Events"
"Page Music";"Circle Music"
"Page Photos";"Circle Photos"
"Page Album Photos";"Circle Album Photos"
"View Page Album";"View Circle Album"
"View Page Event";"View Circle Event"
"View Page Video";"View Circle Video"
"View Page Poll";"View Circle Poll"
"View Page Review";"View Circle Review"
"View Page Note";"View Circle Note"
"View Page Album Photos";"View Circle Album Photos"
"View Page Music";"View Circle Music"
"View Page Document";"View Circle Document"
"_ACTIVITY_ACTIONTYPE_LIKE_SITEPAGE_PHOTO";"When I liked the page photo"
"_ACTIVITY_ACTIONTYPE_LIKE_SITEPAGE_ALBUM";"When I liked the page album"
"_ACTIVITY_ACTIONTYPE_LIKE_SITEPAGEPOLL_POLL";"When I liked the page poll"
"_ACTIVITY_ACTIONTYPE_LIKE_SITEPAGENOTE_NOTE";"When I liked the page note"
"_ACTIVITY_ACTIONTYPE_LIKE_SITEPAGEEVENT_PHOTO";"When I liked the page event photo"
"_ACTIVITY_ACTIONTYPE_LIKE_SITEPAGENOTE_PHOTO";"When I liked the page note photo"
"_ACTIVITY_ACTIONTYPE_LIKE_SITEPAGEDOCUMENT_DOCUMENT";"When I liked the page document"
"_ACTIVITY_ACTIONTYPE_LIKE_SITEPAGEEVENT_EVENT";"When I liked the page event"
"_ACTIVITY_ACTIONTYPE_LIKE_SITEPAGEMUSIC_PLAYLIST";"When I liked the page music"
"_ACTIVITY_ACTIONTYPE_LIKE_SITEPAGEREVIEW_REVIEW";"When I liked the page review"
"_ACTIVITY_ACTIONTYPE_LIKE_SITEPAGEVIDEO_VIDEO";"When I liked the page video"
"_ACTIVITY_ACTIONTYPE_LIKE_SITEPAGE_PAGE";"When I liked the page"
"ADMIN_ACTIVITY_TYPE_LIKE_SITEPAGE_PHOTO";"When someone like the page photo."
"ADMIN_ACTIVITY_TYPE_LIKE_SITEPAGE_ALBUM";"When someone like the page album."
"ADMIN_ACTIVITY_TYPE_LIKE_SITEPAGEPOLL_POLL";"When someone like the page poll."
"ADMIN_ACTIVITY_TYPE_LIKE_SITEPAGENOTE_NOTE";"When someone like the page note."
"ADMIN_ACTIVITY_TYPE_LIKE_SITEPAGEEVENT_PHOTO";"When someone like the page event photo."
"ADMIN_ACTIVITY_TYPE_LIKE_SITEPAGENOTE_PHOTO";"When someone like the page note photo."
"ADMIN_ACTIVITY_TYPE_LIKE_SITEPAGEDOCUMENT_DOCUMENT";"When someone like the page document."
"ADMIN_ACTIVITY_TYPE_LIKE_SITEPAGEEVENT_EVENT";"When someone like the page event."
"ADMIN_ACTIVITY_TYPE_LIKE_SITEPAGEMUSIC_PLAYLIST";"When someone like the page music."
"ADMIN_ACTIVITY_TYPE_LIKE_SITEPAGEREVIEW_REVIEW";"When someone like the page review."
"ADMIN_ACTIVITY_TYPE_LIKE_SITEPAGEVIDEO_VIDEO";"When someone like the page video."
"ADMIN_ACTIVITY_TYPE_LIKE_SITEPAGE_PAGE";"When someone like the page."
"{item:$subject} likes the page {item:$object}:";"{item:$subject} likes the page {item:$object}:"
"{item:$subject} likes the page album {item:$object}:";"{item:$subject} likes the page album {item:$object}:"
"{item:$subject} likes the page photo {item:$object}:";"{item:$subject} likes the page photo {item:$object}:"
"{item:$subject} likes the page review {item:$object}:";"{item:$subject} likes the page review {item:$object}:"
"{item:$subject} likes the page poll {item:$object}:";"{item:$subject} likes the page poll {item:$object}:"
"{item:$subject} likes the page video {item:$object}:";"{item:$subject} likes the page video {item:$object}:"
"{item:$subject} likes the page note {item:$object}:";"{item:$subject} likes the page note {item:$object}:"
"{item:$subject} likes the page note photo {item:$object}:";"{item:$subject} likes the page note photo {item:$object}:"
"{item:$subject} likes the page album photo {item:$object}:";"{item:$subject} likes the page album photo {item:$object}:"
"{item:$subject} likes the page playlist {item:$object}:";"{item:$subject} likes the page playlist {item:$object}:"
"{item:$subject} likes the page document {item:$object}:";"{item:$subject} likes the page document {item:$object}:"
"{item:$subject} likes the page event {item:$object}:";"{item:$subject} likes the page event {item:$object}:"
"{item:$subject} likes the page music {item:$object}:";"{item:$subject} likes the page music {item:$object}:"
"{item:$subject} changed their page cover photo.";"{item:$subject} changed their page cover photo."
"{item:$object} changed page cover photo.";"{item:$object} changed page cover photo."
"Most Followed Pages";"Most Followed Circles"
"Most Joined Pages";"Most Joined Circles"
"Most Liked Pages";"Most Liked Circles"
"Most Commented Pages";"Most Commented Circles"
"Page Title";"Circle Title"
"No, only page admins can invite other people.";"No, only page admins can invite other people."
"Joined Pages";"Joined Circles"
"Below, you can manage various notification settings that receive when people do some activities on your page.";"Below, you can manage various notification settings that receive when people do some activities on your page."
"Send notifications to my mail when people post an update, or create various contents on my page.";"Send notifications to my mail when people post an update, or create various contents on my page."
"Send notification updates when people do various actions on my page.";"Send notification updates when people do various actions on my page."
"Update posts on my page";"Update posts on my page"
"Create various contents on my page";"Create various contents on my page"
"Comments on my page";"Comments on my page"
"Likes my page";"Likes my page"
"Follows my page";"Follows my page"
"Below you can see all the member roles added by you and our site administrators, which members of your page can choose. You can also add new member roles and delete them. Note that you can only delete the roles created by you.";"Below you can see all the member roles added by you and our site administrators, which members of your page can choose. You can also add new member roles and delete them. Note that you can only delete the roles created by you."
"{item:$subject} updated cover photo of the page {item:$object}:";"{item:$subject} updated cover photo of the page {item:$object}:"
"{item:$object} updated a new cover photo.";"{item:$object} updated a new cover photo."
"ADMIN_ACTIVITY_TYPE_SITEPAGE_ADMIN_COVER_UPDATE";"When page admins update cover photo of their pages."
"ADMIN_ACTIVITY_TYPE_SITEPAGE_COVER_UPDATE";"When page admins update cover photo of their pages."
"_ACTIVITY_ACTIONTYPE_SITEPAGE_COVER_UPDATE";"Update a page cover photo."
"_ACTIVITY_ACTIONTYPE_SITEPAGE_ADMIN_COVER_UPDATE";"Update a page cover photo by page admin."
"MEDIA_TYPE_SITEPAGE_PAGE";"page"

"ACTIVITY_TYPE_FOLLOW_SITEPAGE_PAGE";"When people follow my page."
"ACTIVITY_TYPE_SITEPAGE_ACTIVITYCOMMENT";"When people comment on activity I post on my page."
"ACTIVITY_TYPE_SITEPAGE_ACTIVITYLIKE";"When people like on activity I post on my page."
"ACTIVITY_TYPE_SITEPAGE_CONTENTCOMMENT";"When people comment on  my content I post on my page."
"ACTIVITY_TYPE_SITEPAGE_CONTENTLIKE";"When people like on  my content I post on my page."
"ACTIVITY_TYPE_SITEPAGE_NOTIFICATIONPOST";"When people post on my page."
"ACTIVITY_TYPE_SITEPAGEMEMBER_ACCEPTED";"When someone accepts my page request."
"ACTIVITY_TYPE_SITEPAGEMEMBER_APPROVE";"When my request to attend an event is approved."
"ACTIVITY_TYPE_SITEPAGEMEMBER_INVITE";"When I'm invited to attend an page event."
"ACTIVITY_TYPE_SITEPAGEMEMBER_NOTIFICATIONPOST";"When someone post on my page."
"ACTIVITY_TYPE_SITEPAGE_ADDMEMBER";"When someone has joined you in page."
"ACTIVITY_TYPE_SITEPAGE_JOIN";"When someone join my page."
"ACTIVITY_TYPE_SITEPAGEALBUM_CREATE";"When a user create an page album on my page."
"ACTIVITY_TYPE_SITEPAGEDOCUMENT_CREATE";"When a user create an page document on my page."
"ACTIVITY_TYPE_SITEPAGEEVENT_CREATE";"When a user create an page event on my page."
"ACTIVITY_TYPE_SITEPAGEMUSIC_CREATE";"When a user create an page music on my page."
"ACTIVITY_TYPE_SITEPAGENOTE_CREATE";"When a user create an page note on my page."
"ACTIVITY_TYPE_SITEPAGEPOLL_CREATE";"When a user create an page poll on my page."
"ACTIVITY_TYPE_SITEPAGEREVIEW_CREATE";"When a user create an page review on my page."
"ACTIVITY_TYPE_SITEPAGEVIDEO_CREATE";"When a user create an page video on my page."
"_ACTIVITY_ACTIONTYPE_FOLLOW_SITEPAGE_PAGE";"When I follow the page."

"Below, you can manage multiple locations for your page. You can add a new location and delete any existing one.";"Below, you can manage multiple locations for your page. You can add a new location and delete any existing one."
"Are you sure that you want to remove this location form this page?";"Are you sure that you want to remove this location form this page?"
"Below, you can manage the announcements for your page. Announcements are shown on the page profile.";"Below, you can manage the announcements for your page. Announcements are shown on the page profile."

"BACK_TO_PAGEPLUGIN_ADMIN_PANEL";"Back to Directory / Circles Plugin"
"All Page Members";"All Circle Members"
"BACK_TO_MANAGEEXTENSION_ADMIN_PANEL";"Lists Of Extensions"

"_EMAIL_SITEPAGE_EMAILME_EMAIL_TITLE";"Circle Email Me"
"_EMAIL_SITEPAGE_EMAILME_EMAIL_DESCRIPTION";"This email sent to Page when a user contacts the Circle."
"_EMAIL_SITEPAGE_EMAILME_EMAIL_SUBJECT";"[sender_name] has contacted your Circle"
"_EMAIL_SITEPAGE_EMAILME_EMAIL_BODY";"[header]

[sender_name] with email id: [sender_email] has contacted your Page: [page_title].

This user has also sent a message:

[message]

[footer]"

#Sitemobile
"mobilepagetitle-sitepage-index-sitemobile-index";"Browse Circles"
"mobilepagetitle-sitepage-manage-sitemobile-index";"My Circles"
"mobilepagetitle-sitepage-mylikes-sitemobile-like ";"Circles I Like"
"mobilepagetitle-sitepage-my-pages-sitemobile-manageadmin";"Circles I Admin"
"mobilepagetitle-sitepage-my-joined-sitemobile-like";"Circles I've Joined"
"%s page found.";"%s pages found.";"%s pages found."

"Use the layout editor given below to configure the content which appears on main profile of your Page. You can drag and drop the colored ""blocks"" to arrange the content in the way you want them to appear at profile page. Drag blocks from or to the ""Available Blocks"" area to add or remove them from your page. Use ""HTML Block"" if you want to drop in raw HTML or other content.";"Use the layout editor given below to configure the content which appears on main profile of your Circle. You can drag and drop the colored ""blocks"" to arrange the content in the way you want them to appear at profile page. Drag blocks from or to the ""Available Blocks"" area to add or remove them from your page. Use ""HTML Block"" if you want to drop in raw HTML or other content."
"Note: Some blocks won\'t appear if their corresponding apps or features are not available in your page\'s package.";"Note: Some blocks won\'t appear if their corresponding apps or features are not available in your page\'s package."
"Note: Some blocks won\'t appear if their corresponding apps or features are not available to your member level.";"Note: Some blocks won\'t appear if their corresponding apps or features are not available to your member level."
"Reset Layout of your Page?";"Reset Layout of your Circle?"
"Are you sure you want to reset the layout of this page? If you click "Continue", then you will be able to edit the layout of your page according to you.";"Are you sure you want to reset the layout of this page? If you click "Continue", then you will be able to edit the layout of your page according to you."
"Layout for this page has been changed successfully.";"Layout for this page has been changed successfully."
"Below is the default layout which has been set by the site admin for all the pages. If you want to modify anything in this layout or want to add / remove any blocks on your page, then please %1$sClick here%2$s.";"Below is the default layout which has been set by the site admin for all the pages. If you want to modify anything in this layout or want to add / remove any blocks on your page, then please %1$sClick here%2$s."

"What will members be called?";"What will members be called?"
"Ex: Dance Lovers, Hikers, Innovators, Music Lovers, etc.";"Ex: Dance Lovers, Hikers, Innovators, Music Lovers, etc."
"Discussion Topic Post Privacy";"Discussion Topic Post Privacy"
"Who may post discussion topics for this page?";"Who may post discussion topics for this page?"
"Sub Pages Creation Privacy";"Sub Circles Creation Privacy"
"Who may create sub pages in this page?";"Who may create sub pages in this page?"
"Manage Notifications";"Manage Notifications"
"Below, you can manage various notification settings that receive when people do some activities on your page.";"Below, you can manage various notification settings that receive when people do some activities on your page."
"Email Notifications";"Email Notifications"
"Send notifications to my mail when people post an update, or create various contents on my page.";"Send notifications to my mail when people post an update, or create various contents on my page."
"Site Notifications";"Site Notifications"
"Send notification updates when people do various actions on my page.";"Send notification updates when people do various actions on my page."
"Manage Member Roles";"Manage Member Roles"
"Enter the member role name.";"Enter the member role name."
"Add Member Role";"Add Member Role"
"%s follower";"%s follower";"%s followers"
"Sub Pages of a Page";"Sub Pages of a Circle"
"Displays the sub pages created in the Page which is being viewed currently. This widget should be placed on the Page Profile page.";"Displays the sub pages created in the Page which is being viewed currently. This widget should be placed on the Circle Profile page."
"Parent Page of a Sub Page";"Parent Page of a Sub Circle"
"Displays the parent page in which the currently viewed sub pages is created. This widget should be placed on the Page Profile page.";"Displays the parent page in which the currently viewed sub pages is created. This widget should be placed on the Circle Profile page."
"Page Profile Breadcrumb";"Circle Profile Breadcrumb"
"Displays breadcrumb of the page based on the categories. This widget should be placed on the Page Profile page.";"Displays breadcrumb of the page based on the categories. This widget should be placed on the Circle Profile page."
"Page Profile 'Save to foursquare' Button";"Circle Profile 'Save to foursquare' Button"
"This Button will enable Page visitors to add the Page's place or tip to their foursquare To-Do List. Note that this feature will be available to you based on your Page's Package and your Member Level.";"This Button will enable Page visitors to add the Page's place or tip to their foursquare To-Do List. Note that this feature will be available to you based on your Circle's Package and your Member Level."
"Page Profile Social Share Buttons";"Circle Profile Social Share Buttons"
"Contains Social Sharing buttons and enables users to easily share Pages on their favorite Social Networks. You can personalize the code for social sharing buttons by adding your own code generated from: <a href='http://www.addthis.com' target='_blank'>http://www.addthis.com</a>";"Contains Social Sharing buttons and enables users to easily share Circles on their favorite Social Networks. You can personalize the code for social sharing buttons by adding your own code generated from: <a href='http://www.addthis.com' target='_blank'>http://www.addthis.com</a>"
"Page Profile Title";"Circle Profile Title"
"Displays the Title of the Page. This widget should be placed on the Page Profile, in the middle column at the top.";"Displays the Title of the Page. This widget should be placed on the Circle Profile, in the middle column at the top."
"Page Profile Info";"Circle Profile Info"
"This widget forms the Info tab on the Page Profile and displays the information of the Page. It should be placed in the Tabbed Blocks area of the Page Profile. You may enter content for this section from the Edit Info and Profile Info sections of the Page Dashboard.";"This widget forms the Info tab on the Page Profile and displays the information of the Page. It should be placed in the Tabbed Blocks area of the Page Profile. You may enter content for this section from the Edit Info and Profile Info sections of the Circle Dashboard."
"Page Profile Information Page";"Page Profile Information Circle"
"Displays the owner, category, tags, views and other information about a Page. This widget should be placed on the Page Profile in the left column.";"Displays the owner, category, tags, views and other information about a Page. This widget should be placed on the Circle Profile in the left column."
"Page Profile Photo";"Circle Profile Photo"
"Displays the main cover photo of a Page. This widget must be placed on the Page Profile at the top of left column.";"Displays the main cover photo of a Page. This widget must be placed on the Circle Profile at the top of left column."
"Page Profile Map";"Circle Profile Map"
"This widget forms the Map tab on the Page Profile. It displays the map showing the Page position as well as the location details of the page. It should be placed in the Tabbed Blocks area of the Page Profile. Location details can be entered from the Location section of the Dashboard. Note that this feature will be available to you based on your Page\'s Package and your Member Level.";"This widget forms the Map tab on the Page Profile. It displays the map showing the Page position as well as the location details of the page. It should be placed in the Tabbed Blocks area of the Page Profile. Location details can be entered from the Location section of the Dashboard. Note that this feature will be available to you based on your Circle\'s Package and your Member Level."
"Page Profile Options";"Circle Profile Options"
"Displays the various action link options to users viewing your Page. This widget should be placed on the Page Profile in the left column, below the Page profile photo.";"Displays the various action link options to users viewing your Page. This widget should be placed on the Page Profile in the left column, below the Circle profile photo."
"Page Profile Owner Page Tags";"Page Profile Owner Circle Tags"
"Displays all the tags chosen by the owner of your Page for his Pages. This widget should be placed on the Page Profile.";"Displays all the tags chosen by the owner of your Page for his Pages. This widget should be placed on the Circle Profile."
"Page Profile Owner Pages";"Page Profile Owner Circles"
"Displays other Pages owned by the owner of your Page. This widget should be placed on the Page Profile.";"Displays other Pages owned by the owner of your Page. This widget should be placed on the Circle Profile."
"Page Profile About Page";"Page Profile About Circle"
"Displays the About Us information for your Page. You can enter information for this widget simply by clicking on the widget.";"Displays the About Us information for your Circle. You can enter information for this widget simply by clicking on the widget."
"Content Profile: Follow Button";"Content Profile: Follow Button"
"This is the Follow Button to be placed on the Content Profile page. It enables users to Follow the content being currently viewed.";"This is the Follow Button to be placed on the Content Profile page. It enables users to Follow the content being currently viewed."
"Content Profile: Like Button for Content";"Content Profile: Like Button for Content"
"This is the Like Button to be placed on the Content Profile page. It enables users to Like the content being currently viewed. The best place to put this widget is right above the Tabbed Blocks on the Content Profile page.";"This is the Like Button to be placed on the Content Profile page. It enables users to Like the content being currently viewed. The best place to put this widget is right above the Tabbed Blocks on the Content Profile page."
"Page Profile You May Also Like";"Circle Profile You May Also Like"
"Displays the other Pages that a user may like, based on your Page.";"Displays the other Pages that a user may like, based on your Circle."
"Page Profile Page Insights";"Page Profile Circle Insights"
"Displays the insights of your Page to your Page Admins only. These insights include metrics like views, likes, comments and active users of the Page.";"Displays the insights of your Page to your Page Admins only. These insights include metrics like views, likes, comments and active users of the Circle."
"Page Profile Apps Links";"Circle Profile Apps Links"
"Displays the Apps related links for your Page. This widget should be placed in the left column.";"Displays the Apps related links for your Circle. This widget should be placed in the left column."
"Displays Linked Pages of your Page.";"Displays Linked Pages of your Circle."
"Linked Pages";"Linked Circles"
"Page Profile Featured Page Admins";"Page Profile Featured Circle Admins"
"Displays the Featured Admins of your Page.";"Displays the Featured Admins of your Circle."
"Page admins";"Circle admins"
"Page Profile Alternate Thumb Photo";"Circle Profile Alternate Thumb Photo"
"Displays the thumb photo of a Page. This works as an alternate profile photo when you have set the layout of Page Profile to be tabbed, from the Page Layout Settings, and have integrated with the ""Advertisements / Community Ads Plugin"" by SocialEngineAddOns. In that case, the left column of the Page Profile having the main profile photo gets hidden to accomodate Ads. This widget must be placed on the Page Profile at the top of middle column.";"Displays the thumb photo of a Page. This works as an alternate profile photo when you have set the layout of Page Profile to be tabbed, from the Page Layout Settings, and have integrated with the ""Advertisements / Community Ads Plugin"" by SocialEngineAddOns. In that case, the left column of the Page Profile having the main profile photo gets hidden to accomodate Ads. This widget must be placed on the Circle Profile at the top of middle column."
"Show Page Profile Title.";"Show Circle Profile Title."
"Select the contact details you want to display";"Select the contact details you want to display"
"Do you want users to send emails to Pages via a customized pop up when they click on ""Email Me"" link?";"Do you want users to send emails to Circles via a customized pop up when they click on ""Email Me"" link?"
"Page Profile Alternate Cover Thumb Photo";"Circle Profile Alternate Cover Thumb Photo"
"Displays the thumb photo of your Page. This widget must be placed on the Page Profile at the top of middle column. This photo shows up only in special cases.";"Displays the thumb photo of your Page. This widget must be placed on the Circle Profile at the top of middle column. This photo shows up only in special cases."
"Facebook Like Box";"Facebook Like Box"
"This widget contains the Facebook Like Box which enables Page Admins to gain Likes for their Facebook Page from this website. The edit popup contains the settings to customize the Facebook Like Box. This widget should be placed on the Page Profile.";"This widget contains the Facebook Like Box which enables Page Admins to gain Likes for their Facebook Page from this website. The edit popup contains the settings to customize the Facebook Like Box. This widget should be placed on the Circle Profile."
"Width of the Facebook Like Box in pixels.";"Width of the Facebook Like Box in pixels."
"Height of the Facebook Like Box in pixels (optional).";"Height of the Facebook Like Box in pixels (optional)."
"Color Scheme";"Color Scheme"
"Color scheme of the Facebook Like Box in pixels.";"Color scheme of the Facebook Like Box in pixels."
"Show Faces";"Show Faces"
"Show profile photos of users who like the linked Facebook Page in the Facebook Like Box.";"Show profile photos of users who like the linked Facebook Circle in the Facebook Like Box."
"Border Color";"Border Color"
"The border color of the plugin";"The border color of the plugin"
"Stream";"Stream"
"Show the Facebook Page profile stream for the public feeds in the Facebook Like Box.";"Show the Facebook Circle profile stream for the public feeds in the Facebook Like Box."
"Yes, open customized pop up";"Yes, open customized pop up"
"No, open browser`s default pop up";"No, open browser`s default pop up"
"Browse Locations";"Browse Locations"
"Pinboard";"Pinboard"
"Share with friends only";"Share with friends only"


"_EMAIL_SITEPAGE_PAGE_CREATION_TITLE";"Circle Creation Email Notification"
"_EMAIL_SITEPAGE_PAGE_CREATION_DESCRIPTION";"This email is sent to the superadmin when members create new pages."
"_EMAIL_SITEPAGE_PAGE_CREATION_SUBJECT";"A new page '[object_title]' has been created."
"_EMAIL_SITEPAGE_PAGE_CREATION_BODY";"[header]

[sender] has created a new Page.

[object_title]
[object_description]

To visit this page, click on the link below, or copy-paste it in your browser:
[object_link]

[footer]"
